SEVERITY | FEATURE | ID | FIELD | VALUE | VIOLATION
WARNING | Route | EAD_RTE_LPC73_LP-LP | designator | LPC73 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC74_LP-LP | designator | LPC74 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC75_LP-LP | designator | LPC75 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC76_LP-LP | designator | LPC76 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC77_LP-LP | designator | LPC77 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC78_LP-LP | designator | LPC78 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC79_LP-LP | designator | LPC79 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC80_LP-LP | designator | LPC80 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC81_LP-LP | designator | LPC81 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_MTT10_CAN | designator | MTT10 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_MTT120_CAN | designator | MTT120 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_MTT5_CAN | designator | MTT5 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_MTT60_CAN | designator | MTT60 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_NCA10_CAN-PAC | designator | NCA10 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_NCA11_CAN-PAC | designator | NCA11 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_NCA12_CAN | designator | NCA12 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_NCA13_CAN-PAC | designator | NCA13 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_NCA14_CAN-PAC | designator | NCA14 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_NCA15_CAN-PAC | designator | NCA15 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_NCA17_CAN-PAC | designator | NCA17 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_NCA19_CAN-PAC | designator | NCA19 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_NCA20_CAN-PAC | designator | NCA20 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_NCA22_CAN-PAC | designator | NCA22 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_NCA24_CAN-PAC | designator | NCA24 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_NCA28_CAN-PAC | designator | NCA28 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_NCA30_CAN-PAC | designator | NCA30 | desene_uymayan_kod_name_alanina_yazildi
