tablo,fid,code_id,data_originator,name,lat_dd,lon_dd,mid
dp_adhp,5250,ARC02,NAV CANADA,ARC02,53.980309194444445,-122.60773813888888,400003420787529
dp_adhp,5251,ARC02,NAV CANADA,ARC02,54.19981508333333,-128.35049313888888,400003420787607
dp_adhp,5252,ARC02,NAV CANADA,ARC02,46.02697644444444,-64.71709530555556,400003599068923
dp_adhp,5253,ARC02,NAV CANADA,ARC02,45.27985761111111,-65.98401683333333,400003619253795
dp_adhp,5254,ARC02,NAV CANADA,ARC02,45.805010499999995,-66.60546363888888,400003629997395
dp_adhp,5255,ARC02,NAV CANADA,ARC02,46.083187888888894,-60.078980694444446,400003688904579
dp_adhp,5256,ARC02,NAV CANADA,ARC02,46.23647119444445,-63.19785361111111,400003688905073
dp_adhp,5257,ARC02,NAV CANADA,ARC02,62.536619333333334,-114.54381344444444,400003812946441
dp_adhp,5258,ARC02,NAV CANADA,ARC02,55.26872869444444,-118.93972402777779,400003820020765
dp_adhp,5259,ARC02,NAV CANADA,ARC02,56.26361911111111,-120.89292344444445,400003879477147
dp_adhp,5260,ARC02,NAV CANADA,ARC02,56.61154316666667,-111.36521983333333,400004294289975
dp_adhp,5261,ARC02,NAV CANADA,ARC02,49.56303447222222,-119.73262591666666,400004495554872
dp_adhp,5262,ARC02,NAV CANADA,ARC02,43.79674272222222,-79.56932619444444,400004537607406
dp_adhp,5263,ARC02,NAV CANADA,ARC02,46.35997325,-79.28945547222222,400005445698850
dp_adhp,5264,ARC02,NAV CANADA,ARC02,46.677085416666664,-80.68651036111112,400005481031121
dp_adhp,5265,ARC02,NAV CANADA,ARC02,48.52826869444444,-81.48831183333334,400005514348333
dp_adhp,5266,ARC02,NAV CANADA,ARC02,43.16067683333333,-80.05792988888889,400005679443529
dp_adhp,5267,ARC02,NAV CANADA,ARC02,49.268624305555555,-123.28286327777778,500000293438003
dp_adhp,5268,ARC03,NAV CANADA,ARC03,50.118583666666666,-119.48282269444445,400001916927371
dp_adhp,5269,ARC03,NAV CANADA,ARC03,45.31745083333334,-75.81570172222222,400002007608676
dp_adhp,5270,ARC03,NAV CANADA,ARC03,44.96718475,-63.56268291666667,400002041094995
dp_adhp,5271,ARC03,NAV CANADA,ARC03,53.232016111111115,-113.59957424999999,400002137336745
dp_adhp,5272,ARC03,NAV CANADA,ARC03,49.80594463888889,-97.19180819444445,400002347591995
dp_adhp,5273,ARC03,NAV CANADA,ARC03,47.67051872222222,-52.663397027777776,400002421427958
dp_adhp,5274,ARC03,NAV CANADA,ARC03,50.400825,-104.52929452777778,400002528715353
dp_adhp,5275,ARC03,NAV CANADA,ARC03,49.126807666666664,-57.415534666666666,400002701041128
dp_adhp,5276,ARC03,NAV CANADA,ARC03,46.868652250000004,-71.35288858333332,400002772834270
dp_adhp,5277,ARC03,NAV CANADA,ARC03,48.446601888888885,-89.19600033333333,400002908408500
dp_adhp,5278,ARC03,NAV CANADA,ARC03,43.01182108333333,-81.04775074999999,400002951690743
dp_adhp,5279,ARC03,NAV CANADA,ARC03,50.77995663888889,-120.66833908333334,400003173684991
dp_adhp,5280,ARC03,NAV CANADA,ARC03,53.79791022222222,-122.55681972222222,400003420787505
dp_adhp,5281,ARC03,NAV CANADA,ARC03,54.54497522222222,-128.75698177777778,400003420787610
dp_adhp,5282,ARC03,NAV CANADA,ARC03,46.14615386111111,-64.77172266666666,400003599068958
dp_adhp,5283,ARC03,NAV CANADA,ARC03,45.23533366666667,-65.8830101111111,400003619253977
dp_adhp,5284,ARC03,NAV CANADA,ARC03,45.939160916666665,-66.55674994444445,400003629997358
dp_adhp,5285,ARC03,NAV CANADA,ARC03,46.225421250000004,-60.12485186111111,400003688904532
dp_adhp,5286,ARC03,NAV CANADA,ARC03,46.24333552777778,-63.18843722222222,400003688905044
dp_adhp,5287,ARC03,NAV CANADA,ARC03,62.54248638888889,-114.36434936111111,400003812946444
dp_adhp,5288,ARC03,NAV CANADA,ARC03,55.20966702777778,-119.04222363888888,400003820020762
dp_adhp,5289,ARC03,NAV CANADA,ARC03,56.32247991666667,-120.78727663888888,400003879477150
dp_adhp,5290,ARC03,NAV CANADA,ARC03,56.61154097222222,-111.08462202777777,400004294289994
dp_adhp,5291,ARC03,NAV CANADA,ARC03,49.74697202777778,-119.57573738888888,400004495554878
dp_adhp,5292,ARC03,NAV CANADA,ARC03,46.60859930555556,-80.92750333333333,400005481031124
dp_adhp,5293,ARC03,NAV CANADA,ARC03,48.49481602777778,-81.26544627777778,400005514348350
dp_adhp,5294,ARC03,NAV CANADA,ARC03,43.11116402777778,-79.83952483333333,400005679443520
dp_adhp,5295,ARC04,NAV CANADA,ARC04,50.06938897222223,-119.2995943611111,400001916927368
dp_adhp,5296,ARC04,NAV CANADA,ARC04,45.39342663888889,-75.72612222222223,400002007608507
dp_adhp,5297,ARC04,NAV CANADA,ARC04,44.78598147222222,-63.534296194444444,400002041094963
dp_adhp,5298,ARC04,NAV CANADA,ARC04,53.28046280555555,-113.71543605555556,400002137336748
dp_adhp,5299,ARC04,NAV CANADA,ARC04,49.861028555555556,-97.09529611111111,400002347591998
dp_adhp,5300,ARC04,NAV CANADA,ARC04,47.58743427777778,-52.654829638888884,400002421427955
dp_adhp,5301,ARC04,NAV CANADA,ARC04,50.520615416666665,-104.69815680555556,400002528715350
dp_adhp,5302,ARC04,NAV CANADA,ARC04,52.115476916666665,-106.58204338888889,400002571879221
dp_adhp,5303,ARC04,NAV CANADA,ARC04,49.198990888888886,-57.52088175,400002701041131
dp_adhp,5304,ARC04,NAV CANADA,ARC04,46.805626805555555,-71.26019555555555,400002772834273
dp_adhp,5305,ARC04,NAV CANADA,ARC04,48.38566352777778,-89.4550198888889,400002908408482
dp_adhp,5306,ARC04,NAV CANADA,ARC04,42.96113869444445,-81.12614024999999,400002951690740
dp_adhp,5307,ARC04,NAV CANADA,ARC04,50.70073338888889,-120.77925133333333,400003173684994
dp_adhp,5308,ARC04,NAV CANADA,ARC04,54.37898936111111,-128.26929844444444,400003420787562
dp_adhp,5309,ARC04,NAV CANADA,ARC04,46.05710308333333,-64.76599216666666,400003599068961
dp_adhp,5310,ARC04,NAV CANADA,ARC04,45.32351905555556,-65.99938972222222,400003619251658
dp_adhp,5311,ARC04,NAV CANADA,ARC04,45.85990513888889,-66.46557591666667,400003629997315
dp_adhp,5312,ARC04,NAV CANADA,ARC04,46.32506733333334,-63.21168336111111,400003688905041
dp_adhp,5313,ARC04,NAV CANADA,ARC04,62.39869291666667,-114.33749347222222,400003812946471
dp_adhp,5314,ARC04,NAV CANADA,ARC04,55.143000916666665,-118.71847627777778,400003820022822
dp_adhp,5315,ARC04,NAV CANADA,ARC04,56.26568827777778,-120.58363741666666,400003879477087
dp_adhp,5316,ARC04,NAV CANADA,ARC04,49.727894194444445,-119.6236301111111,400004495554875
dp_adhp,5317,ARC04,NAV CANADA,ARC04,46.56587752777777,-80.70129772222222,400005481031133
dp_adhp,5318,ARC05,NAV CANADA,ARC05,51.208757250000005,-113.91799694444445,400001912524681
dp_adhp,5319,ARC05,NAV CANADA,ARC05,49.83815561111111,-119.5628025,400001917086727
dp_adhp,5320,ARC05,NAV CANADA,ARC05,45.39987063888889,-75.7299903611111,400002007608504
dp_adhp,5321,ARC05,NAV CANADA,ARC05,44.89895186111111,-63.630014055555556,400002041094992
dp_adhp,5322,ARC05,NAV CANADA,ARC05,53.33947263888889,-113.75161816666666,400002137336767
dp_adhp,5323,ARC05,NAV CANADA,ARC05,49.99718766666667,-97.28934397222223,400002360216361
dp_adhp,5324,ARC05,NAV CANADA,ARC05,47.642112777777776,-52.85435619444445,400002411516838
dp_adhp,5325,ARC05,NAV CANADA,ARC05,52.15053866666666,-106.83896008333333,400002574263472
dp_adhp,5326,ARC05,NAV CANADA,ARC05,46.736727111111115,-71.29218974999999,400002772834249
dp_adhp,5327,ARC05,NAV CANADA,ARC05,50.71020386111111,-120.16478083333334,400003173684941
