ident,data_originator,adet,farkli_koordinat,tablolar,isimler
HCH,EUROCONTROL NMOC,3,2,"vor_dme,dme","HINCH MOUNTAIN,HUANGCHENG"
HIA,EUROCONTROL NMOC,3,2,"vor_dme,dme","WHITEHALL,HYDERABAD"
HLC,EUROCONTROL NMOC,3,2,"vortac,dme","HILL CITY,HUILONG"
HME,EUROCONTROL NMOC,3,2,"vor_dme,dme","HASSI MESSAOUD,HANEDA"
HOT,EUROCONTROL NMOC,3,2,"vor_dme,dme","HOT SPRINGS,XILINHOT"
IAA,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,3,"ils_loc,ils_gp,ils_dme",
IAA,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IABT,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IAC,AIRNAV IRELAND,3,2,"ils_loc,ils_gp,ils_dme",
IAD,ROMATSA - ROMANIAN AIR TRAFFIC SERVICES ADMINISTRATION,3,3,"ils_loc,ils_gp,ils_dme",
IAD,SKEYES,3,3,"ils_loc,ils_gp,ils_dme",
IADA,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IADY,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IAE,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IAGR,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IAK,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IAKR,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IAL,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
IALR,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IALY,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IAM,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IAMN,JORDAN CIVIL AVIATION REGULATORY COMMISSION,3,2,"ils_loc,ils_gp,ils_dme",
IANK,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IAP,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,2,"ils_loc,ils_gp,ils_dme",
IAQA,JORDAN CIVIL AVIATION REGULATORY COMMISSION,3,2,"ils_loc,ils_gp,ils_dme",
IART,DHMI TURKIYE,3,2,"ils_loc,ils_gp,ils_dme",
IAT,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
IAT,KAZAERONAVIGATSIA RSE,3,2,"ils_loc,ils_gp,ils_dme",
